Open,High,Low,Close,Adj Close,Volume
24.4,24.459999,24.157499,24.43,22.895067,160766400
24.4475,24.567499,24.362499,24.48,22.941923,114019600
24.497499,25.4725,24.387501,24.657499,23.108265,93170000
24.8125,24.967501,24.74,24.7575,23.201986,89638000
24.754999,24.889999,24.67,24.735001,23.180901,83392400
24.625,24.997499,24.615,24.9125,23.347248,106405600
24.6325,24.8375,24.620001,24.7075,23.155132,126851600
24.672501,24.780001,24.275,24.334999,22.806034,152082000
24.33,24.620001,24.1875,24.365,22.834148,127727600
24.455,24.602501,24.2575,24.285,22.759176,117780800
24.112499,24.4375,24.0175,24.387501,22.855236,125307200
24.155001,24.1625,23.825001,23.8325,22.335106,244032800
24,24.1425,23.7575,23.775,22.281219,137647600
23.735001,24.0875,23.67,23.977501,22.470993,142185600
24.0625,24.2225,23.8375,23.887501,22.386652,116876400
23.985001,24.0725,23.8125,24.025,22.515512,128960800
23.227501,23.665001,23.1625,23.35,21.882919,301245600
23.25,23.262501,22.875,23.01,21.564281,181958400
23.225,23.415001,23.035,23.397499,21.927433,161779600
23.4925,23.637501,23.407499,23.6,22.117212,146124000
23.610001,23.942499,23.575001,23.9,22.398365,143345600
23.872499,24.1175,23.8325,23.9725,22.466309,104106000
23.8475,23.85,23.615,23.747499,22.255449,110820800
23.65,23.915001,23.592501,23.8825,22.381962,123796400
23.924999,24.125,23.905001,23.985001,22.478022,100558400
24.122499,24.2225,24.012501,24.17,22.651403,115648400
24.1875,24.4125,24.182501,24.245001,22.721693,95179600
24.2925,24.424999,24.280001,24.355,22.824778,96670000
24.352501,24.4175,24.209999,24.217501,22.695921,103568800
24.3475,24.747499,24.33,24.6975,23.14576,155676000
24.73,24.825001,24.625,24.695,23.143417,120548000
24.674999,25.032499,24.65,24.9575,23.38942,145975600
24.889999,25,24.834999,24.967501,23.39879,95119600
25,25.115,24.934999,24.99,23.419882,105104000
24.9575,25.25,24.782499,24.8575,23.295704,130808000
24.815001,24.825001,24.577499,24.665001,23.115305,113254800
24.5625,24.709999,24.23,24.334999,22.806034,161531600
24.205,24.4925,24.105,24.1675,22.649059,224959200
26.067499,26.0875,25.6875,25.737499,24.120413,369379200
25.7075,26.112499,25.705,26.084999,24.446079,159479200
26.047501,26.137501,25.92,26.0525,24.415627,110934800
26.102501,26.5375,26.102501,26.512501,24.84672,152671600
26.512501,26.5175,26,26.120001,24.478882,135266400
26.202499,26.459999,26.192499,26.4475,24.785803,120810400
26.395,26.5,26.32,26.467501,24.938921,109634800
26.567499,26.9125,26.545,26.870001,25.318172,162213600
26.879999,27.092501,26.790001,27.092501,25.527824,112148800
27.057501,27.235001,27.002501,27.202499,25.631472,105260800
27.1775,27.225,26.940001,27,25.440668,96034000
27.129999,27.2325,26.9625,26.9825,25.424177,109938000
26.945,27.110001,26.945,27.045,25.483068,74641600
27.035,27.385,27.02,27.370001,25.789301,103472800
27.407499,27.557501,27.3025,27.344999,25.765745,135177600
27.275,27.342501,27.084999,27.305,25.72805,101424000
27.307501,27.4,27.254999,27.27,25.695076,87938800
27.192499,27.422501,27.09,27.34,25.761034,101472400
27.215,27.275,26.9625,27.127501,25.560801,103280800
27.147499,27.33,27.1325,27.2125,25.640892,85030800
27.1425,27.1875,26.92,27.0075,25.447735,94700400
26.8475,26.969999,26.67,26.8925,25.339378,100344800
26.852501,26.987499,26.577499,26.735001,25.190971,111065200
26.655001,26.860001,26.5725,26.705,25.162706,99881200
26.450001,26.625,26.375,26.5,24.96954,99455600
26.415001,26.6425,26.41,26.525,24.993093,118649600
26.535,26.700001,26.405001,26.682501,25.141504,106806000
26.924999,27,26.705,26.932501,25.377068,107210000
26.975,27.075001,26.877501,26.924999,25.369995,107521600
26.9575,27.190001,26.7675,27.09,25.525465,169457200
26.8125,26.817499,26.309999,26.379999,24.856476,212008000
26.16,26.43,25.782499,25.782499,24.293482,186228000
25.6625,26.43,25.6325,26.360001,24.837629,181171200
26.877501,27.1975,26.809999,26.987499,25.428888,248704800
27.182501,28.2575,27.15,27.942499,26.328737,443554800
28.465,28.932501,28.372499,28.8925,27.223869,359934400
28.780001,29.032499,28.51,28.73,27.070753,319547600
28.797501,29.045,28.3125,28.395,26.7551,188092000
28.262501,28.530001,28.127501,28.3925,26.752745,138057200
28.4625,28.497499,28.110001,28.387501,26.74803,144012800
28.5875,28.735001,28.5,28.655001,27.000086,124296000
28.605,28.6975,27.887501,28.1775,26.550158,209924800
27.91,28.3475,27.887501,28.219999,26.590204,119477600
28.25,28.295,28.084999,28.272499,26.639675,98429600
28.422501,28.66,28.3575,28.487499,26.842262,118564400
28.290001,28.450001,27.950001,28.045,26.425316,143548000
28.115,28.342501,27.950001,28.262501,26.630255,145516400
28.1775,28.262501,28.07,28.129999,26.505402,86807200
28.264999,28.577499,28.157499,28.25,26.618475,118947200
28.35,28.415001,28.172501,28.262501,26.630255,85812400
28.424999,28.584999,28.282499,28.4725,26.828121,115117200
28.577499,28.639999,28.377501,28.514999,26.86817,97433600
28.754999,29.1875,28.68,29.012501,27.336943,144944000
29.424999,29.672501,29.049999,29.075001,27.395828,256164000
29.3375,29.495001,29.1875,29.334999,27.640812,150347200
29.1975,29.360001,28.93,29.245001,27.556011,140769600
29.469999,29.5425,29.282499,29.407499,27.709122,142608800
29.3325,29.459999,29.195,29.387501,27.690283,94499600
29.545,29.5525,29.362499,29.3675,27.67144,98214000
29.3125,29.440001,28.450001,29.280001,27.588989,80138400
29.215,29.344999,29.0825,29.264999,27.574854,96503200
29.202499,29.227501,29.07,29.15,27.466496,92770800
